Product Name,Brand,Skin Concern,Severity,Ingredients,Product Type,Skin Type,Price,Customer Rating,Reviews,Availability,Feature_Blob
La Roche-Posay Toner,Innisfree,"Dark Spot, Nodules, Papules",Medium,Centella Asiatica  Vitamin C  Salicylic Acid,Serum,oily,1588.49,4.6,174,Nykaa,"Dark Spot, Nodules, Papules Medium Centella Asiatica  Vitamin C  Salicylic Acid Serum"
Paula's Choice Serum,Clinique,"Nodules, Papules",Medium,Azelaic Acid  Vitamin C  Niacinamide  Zinc PCA  Lactic Acid,Exfoliator,"normal, dry, combination",1634.94,3.5,1601,"Official Website, Ulta","Nodules, Papules Medium Azelaic Acid  Vitamin C  Niacinamide  Zinc PCA  Lactic Acid Exfoliator"
Clinique Moisturizer,La Roche-Posay,"Blackheads, Whiteheads",Low,Azelaic Acid  Centella Asiatica  Niacinamide  Hyaluronic Acid  Lactic Acid,Cleanser,normal,2010.47,3.9,2100,"Official Website, Ulta","Blackheads, Whiteheads Low Azelaic Acid  Centella Asiatica  Niacinamide  Hyaluronic Acid  Lactic Acid Cleanser"
Paula's Choice Moisturizer,Bioderma,"Papules, Pustules",Medium,Niacinamide  Glycolic Acid,Serum,"combination, oily",921.33,4.3,3815,"Nykaa, Dermstore","Papules, Pustules Medium Niacinamide  Glycolic Acid Serum"
Clinique Cleanser,Bioderma,"Dark Spot, Papules",Medium,Centella Asiatica  Hyaluronic Acid,Exfoliator,"normal, dry",1420.46,4.7,3204,"Dermstore, Nykaa","Dark Spot, Papules Medium Centella Asiatica  Hyaluronic Acid Exfoliator"
The Ordinary Toner,La Roche-Posay,"Pustules, Whiteheads",Low,Glycolic Acid  Zinc PCA,Exfoliator,"sensitive, oily, dry",1728.33,3.6,1953,"Nykaa, Amazon","Pustules, Whiteheads Low Glycolic Acid  Zinc PCA Exfoliator"
The Ordinary Moisturizer,Bioderma,"Papules, Whiteheads",Low,Lactic Acid  Centella Asiatica  Hyaluronic Acid,Moisturizer,"oily, dry",1848.91,3.5,3732,Amazon,"Papules, Whiteheads Low Lactic Acid  Centella Asiatica  Hyaluronic Acid Moisturizer"
Clinique Exfoliator,Eucerin,"Nodules, Papules",Medium,Zinc PCA  Niacinamide  Centella Asiatica  Tea Tree Oil  Benzoyl Peroxide,Serum,dry,773.8,4.1,4940,"Ulta, Sephora, Amazon","Nodules, Papules Medium Zinc PCA  Niacinamide  Centella Asiatica  Tea Tree Oil  Benzoyl Peroxide Serum"
Innisfree Toner,Bioderma,"Nodules, Whiteheads",Low,Salicylic Acid  Centella Asiatica  Hyaluronic Acid,Exfoliator,"normal, oily",2993.24,3.9,1324,Sephora,"Nodules, Whiteheads Low Salicylic Acid  Centella Asiatica  Hyaluronic Acid Exfoliator"
Innisfree Spot Treatment,Innisfree,"Blackheads, Papules, Pustules",Low,Retinol  Niacinamide,Exfoliator,sensitive,974.45,3.6,1562,"Official Website, Nykaa, Amazon","Blackheads, Papules, Pustules Low Retinol  Niacinamide Exfoliator"
